dataset_group,case,n,algorithm,time_ms
Master,best,1000,BubbleSort,1.0000
Master,best,1000,SelectionSort,3.0000
Master,best,1000,InsertionSort,0.0000
Master,best,1000,MergeSort,1.0000
Master,best,1000,QuickSort,0.0000
Master,best,1000,HeapSort,0.0000
Master,best,10000,BubbleSort,60.0000
Master,best,10000,SelectionSort,169.0000
Master,best,10000,InsertionSort,0.0000
Master,best,10000,MergeSort,2.0000
Master,best,10000,QuickSort,1.0000
Master,best,10000,HeapSort,0.0000
Master,best,20000,BubbleSort,199.0000
Master,best,20000,SelectionSort,707.0000
Master,best,20000,InsertionSort,0.0000
Master,best,20000,MergeSort,3.0000
Master,best,20000,QuickSort,0.0000
Master,best,20000,HeapSort,1.0000
Master,best,50000,BubbleSort,1227.0000
Master,best,50000,SelectionSort,4248.0000
Master,best,50000,InsertionSort,0.0000
Master,best,50000,MergeSort,7.0000
Master,best,50000,QuickSort,2.0000
Master,best,50000,HeapSort,3.0000
Master,best,100000,BubbleSort,4736.0000
Master,best,100000,SelectionSort,17771.0000
Master,best,100000,InsertionSort,0.0000
Master,best,100000,MergeSort,13.0000
Master,best,100000,QuickSort,4.0000
Master,best,100000,HeapSort,6.0000
Master,average,1000,BubbleSort,2.6000
Master,average,1000,SelectionSort,1.6000
Master,average,1000,InsertionSort,0.2000
Master,average,1000,MergeSort,0.0000
Master,average,1000,QuickSort,0.2000
Master,average,1000,HeapSort,0.2000
Master,average,10000,BubbleSort,264.0000
Master,average,10000,SelectionSort,177.2000
Master,average,10000,InsertionSort,11.8000
Master,average,10000,MergeSort,2.0000
Master,average,10000,QuickSort,1.0000
Master,average,10000,HeapSort,1.0000
Master,average,20000,BubbleSort,1329.0000
Master,average,20000,SelectionSort,697.4000
Master,average,20000,InsertionSort,43.8000
Master,average,20000,MergeSort,4.8000
Master,average,20000,QuickSort,2.0000
Master,average,20000,HeapSort,1.6000
Master,average,50000,BubbleSort,9298.6000
Master,average,50000,SelectionSort,4231.6000
Master,average,50000,InsertionSort,271.4000
Master,average,50000,MergeSort,12.0000
Master,average,50000,QuickSort,5.2000
Master,average,50000,HeapSort,4.6000
Master,average,100000,BubbleSort,52660.8000
Master,average,100000,SelectionSort,27655.8000
Master,average,100000,InsertionSort,1906.6000
Master,average,100000,MergeSort,40.8000
Master,average,100000,QuickSort,18.2000
Master,average,100000,HeapSort,15.6000
Master,worst,1000,BubbleSort,8.0000
Master,worst,1000,SelectionSort,3.0000
Master,worst,1000,InsertionSort,0.0000
Master,worst,1000,MergeSort,0.0000
Master,worst,1000,QuickSort,1.0000
Master,worst,1000,HeapSort,0.0000
Master,worst,10000,BubbleSort,763.0000
Master,worst,10000,SelectionSort,290.0000
Master,worst,10000,InsertionSort,40.0000
Master,worst,10000,MergeSort,2.0000
Master,worst,10000,QuickSort,1.0000
Master,worst,10000,HeapSort,1.0000
Master,worst,20000,BubbleSort,3047.0000
Master,worst,20000,SelectionSort,1163.0000
Master,worst,20000,InsertionSort,160.0000
Master,worst,20000,MergeSort,4.0000
Master,worst,20000,QuickSort,1.0000
Master,worst,20000,HeapSort,2.0000
Master,worst,50000,BubbleSort,19262.0000
Master,worst,50000,SelectionSort,7232.0000
Master,worst,50000,InsertionSort,988.0000
Master,worst,50000,MergeSort,11.0000
Master,worst,50000,QuickSort,5.0000
Master,worst,50000,HeapSort,6.0000
Master,worst,100000,BubbleSort,75597.0000
Master,worst,100000,SelectionSort,29193.0000
Master,worst,100000,InsertionSort,3768.0000
Master,worst,100000,MergeSort,23.0000
Master,worst,100000,QuickSort,10.0000
Master,worst,100000,HeapSort,13.0000
fineGrained,best,1000,BubbleSort,1.0000
fineGrained,best,1000,SelectionSort,3.0000
fineGrained,best,1000,InsertionSort,0.0000
fineGrained,best,1000,MergeSort,1.0000
fineGrained,best,1000,QuickSort,0.0000
fineGrained,best,1000,HeapSort,0.0000
fineGrained,best,2000,BubbleSort,4.0000
fineGrained,best,2000,SelectionSort,11.0000
fineGrained,best,2000,InsertionSort,0.0000
fineGrained,best,2000,MergeSort,0.0000
fineGrained,best,2000,QuickSort,0.0000
fineGrained,best,2000,HeapSort,0.0000
fineGrained,best,3000,BubbleSort,6.0000
fineGrained,best,3000,SelectionSort,25.0000
fineGrained,best,3000,InsertionSort,0.0000
fineGrained,best,3000,MergeSort,1.0000
fineGrained,best,3000,QuickSort,0.0000
fineGrained,best,3000,HeapSort,0.0000
fineGrained,best,4000,BubbleSort,14.0000
fineGrained,best,4000,SelectionSort,47.0000
fineGrained,best,4000,InsertionSort,0.0000
fineGrained,best,4000,MergeSort,0.0000
fineGrained,best,4000,QuickSort,0.0000
fineGrained,best,4000,HeapSort,0.0000
fineGrained,best,5000,BubbleSort,22.0000
fineGrained,best,5000,SelectionSort,75.0000
fineGrained,best,5000,InsertionSort,0.0000
fineGrained,best,5000,MergeSort,1.0000
fineGrained,best,5000,QuickSort,1.0000
fineGrained,best,5000,HeapSort,1.0000
fineGrained,best,6000,BubbleSort,28.0000
fineGrained,best,6000,SelectionSort,109.0000
fineGrained,best,6000,InsertionSort,0.0000
fineGrained,best,6000,MergeSort,1.0000
fineGrained,best,6000,QuickSort,1.0000
fineGrained,best,6000,HeapSort,1.0000
fineGrained,best,7000,BubbleSort,41.0000
fineGrained,best,7000,SelectionSort,146.0000
fineGrained,best,7000,InsertionSort,0.0000
fineGrained,best,7000,MergeSort,1.0000
fineGrained,best,7000,QuickSort,0.0000
fineGrained,best,7000,HeapSort,0.0000
fineGrained,best,8000,BubbleSort,55.0000
fineGrained,best,8000,SelectionSort,186.0000
fineGrained,best,8000,InsertionSort,0.0000
fineGrained,best,8000,MergeSort,2.0000
fineGrained,best,8000,QuickSort,1.0000
fineGrained,best,8000,HeapSort,1.0000
fineGrained,best,9000,BubbleSort,72.0000
fineGrained,best,9000,SelectionSort,231.0000
fineGrained,best,9000,InsertionSort,0.0000
fineGrained,best,9000,MergeSort,2.0000
fineGrained,best,9000,QuickSort,0.0000
fineGrained,best,9000,HeapSort,1.0000
fineGrained,best,10000,BubbleSort,81.0000
fineGrained,best,10000,SelectionSort,283.0000
fineGrained,best,10000,InsertionSort,0.0000
fineGrained,best,10000,MergeSort,3.0000
fineGrained,best,10000,QuickSort,1.0000
fineGrained,best,10000,HeapSort,1.0000
fineGrained,average,1000,BubbleSort,4.8000
fineGrained,average,1000,SelectionSort,3.0000
fineGrained,average,1000,InsertionSort,0.2000
fineGrained,average,1000,MergeSort,0.4000
fineGrained,average,1000,QuickSort,0.2000
fineGrained,average,1000,HeapSort,0.2000
fineGrained,average,2000,BubbleSort,18.0000
fineGrained,average,2000,SelectionSort,12.2000
fineGrained,average,2000,InsertionSort,0.8000
fineGrained,average,2000,MergeSort,0.6000
fineGrained,average,2000,QuickSort,0.0000
fineGrained,average,2000,HeapSort,0.2000
fineGrained,average,3000,BubbleSort,36.6000
fineGrained,average,3000,SelectionSort,26.2000
fineGrained,average,3000,InsertionSort,1.8000
fineGrained,average,3000,MergeSort,1.2000
fineGrained,average,3000,QuickSort,0.6000
fineGrained,average,3000,HeapSort,0.2000
fineGrained,average,4000,BubbleSort,62.4000
fineGrained,average,4000,SelectionSort,45.6000
fineGrained,average,4000,InsertionSort,4.2000
fineGrained,average,4000,MergeSort,1.4000
fineGrained,average,4000,QuickSort,0.6000
